user,review,rating,date,app,cleaned_review,review_length,month,year,detected_patterns,has_dark_pattern,pattern_count,detected_patterns_str
sathiya gopal,is the refund amount not paying any one is a fraud app don't book tickets though make my trip is very poor service and more costly no customer care mail conversation available no international conduct customer care support is only a made bad trips don't ues app,1,2026-03-18 00:33:28,MakeMyTrip,is the refund amount not paying any one is a fraud app don t book tickets though make my trip is very poor service and more costly no customer care mail conversation available no international conduct customer care support is only a made bad trips don t ues app,261,3,2026,[],False,0,none
Jairaj (JJ),shady flight pricing algorithm,1,2026-03-17 23:48:01,MakeMyTrip,shady flight pricing algorithm,30,3,2026,[],False,0,none
Umesh Soni,"Very disappointing experience with MakeMyTrip. The booking was made for my full family and the number of guests was clearly mentioned while paying the full amount. However, at check-in the hotel demanded extra payment for a mattress. Such costs should be transparently included in the booking price or clearly informed beforehand. Customers should not face surprise charges at the hotel.",1,2026-03-17 22:50:02,MakeMyTrip,very disappointing experience with makemytrip the booking was made for my full family and the number of guests was clearly mentioned while paying the full amount however at check in the hotel demanded extra payment for a mattress such costs should be transparently included in the booking price or clearly informed beforehand customers should not face surprise charges at the hotel,387,3,2026,['hidden_costs'],True,1,hidden_costs
SANDEEP MALVIYA,"This app should really check weather amenities written in the app of hotel are true or not, because I booked a hotel and it said they have a restaurant but when we reached there, no sign of a restaurant. the pictures in the app showed that it consists of a sofa(couch) but after reaching, the scenario was same as of restaurant. And same was with many other amenities showed in picture and written in the app. please Refund amount of tourist if hotel have said false statements about itself.",1,2026-03-17 21:22:31,MakeMyTrip,this app should really check weather amenities written in the app of hotel are true or not because i booked a hotel and it said they have a restaurant but when we reached there no sign of a restaurant the pictures in the app showed that it consists of a sofa couch but after reaching the scenario was same as of restaurant and same was with many other amenities showed in picture and written in the app please refund amount of tourist if hotel have said false statements about itself,491,3,2026,[],False,0,none
Akash Kumar,very bad experience.. always you will get rac ticket in trip guarantee program and also refund is very useful.,1,2026-03-17 21:16:25,MakeMyTrip,very bad experience always you will get rac ticket in trip guarantee program and also refund is very useful,110,3,2026,[],False,0,none
AMARDEEP SINGH,MMT is mastering the last minute glitches and price increase.. started playing dirty.. Not recommended. Agoda n Trivago r the best...,1,2026-03-17 19:46:32,MakeMyTrip,mmt is mastering the last minute glitches and price increase started playing dirty not recommended agoda n trivago r the best,133,3,2026,[],False,0,none
Faisal Gangavali,Cheat my trip Airline cancelled the flight and make my trip applied the penalty deduction on refund,1,2026-03-17 19:44:22,MakeMyTrip,cheat my trip airline cancelled the flight and make my trip applied the penalty deduction on refund,99,3,2026,[],False,0,none
sella ganesh,worst application.. no support details available.,1,2026-03-17 19:22:55,MakeMyTrip,worst application no support details available,49,3,2026,[],False,0,none
Manvi Sachdeva,"Worst experience ever, booked a flight through this, flight got delayed for more than 5 hrs and got diverted to a different destination. No refund received whatsoever. Bad customer support .",1,2026-03-17 19:09:23,MakeMyTrip,worst experience ever booked a flight through this flight got delayed for more than 5 hrs and got diverted to a different destination no refund received whatsoever bad customer support,190,3,2026,['roach_motel'],True,1,roach_motel
Mukul Bisht,"I'd a very disappointing experience with MMT. Despite the 48 hrs cancellation rule, they did not allow me to cancel my tickets.. even though app was showing an option..When I reached out to their customer support, I couldn’t speak to a real person....everything was automated with generic responses, which wasn’t helpful at all. Now, they aren’t even allowing me to change the dates, even though I’m willing to pay extra. I’m giving them 1 star and will be uninstalling the app once my trip is over.",1,2026-03-17 18:34:08,MakeMyTrip,i d a very disappointing experience with mmt despite the 48 hrs cancellation rule they did not allow me to cancel my tickets even though app was showing an option when i reached out to their customer support i couldn t speak to a real person everything was automated with generic responses which wasn t helpful at all now they aren t even allowing me to change the dates even though i m willing to pay extra i m giving them 1 star and will be uninstalling the app once my trip is over,499,3,2026,[],False,0,none
